t,q0,q1,q2,q3,q4,q5,w,fator,v_cmd,v_real
0.001,0.00000,-1.00000,1.20000,-1.57000,-1.57000,0.00000,0.32805,1.0000,0.05000,0.05000
0.051,0.00000,-0.99999,1.19998,-1.57000,-1.57000,0.00000,0.32805,1.0000,0.05000,0.05000
0.102,0.00007,-0.99949,1.19936,-1.56987,-1.56999,0.00006,0.32806,1.0000,0.05000,0.05000
0.153,0.00022,-0.99830,1.19785,-1.56955,-1.56996,0.00022,0.32808,1.0000,0.05000,0.05000
0.204,0.00047,-0.99640,1.19544,-1.56903,-1.56991,0.00046,0.32811,1.0000,0.05000,0.05000
0.255,0.00080,-0.99380,1.19212,-1.56833,-1.56984,0.00079,0.32814,1.0000,0.05000,0.05000
0.306,0.00132,-0.98979,1.18702,-1.56723,-1.56974,0.00129,0.32817,1.0000,0.05000,0.05000
0.356,0.00168,-0.98697,1.18341,-1.56644,-1.56966,0.00165,0.32819,1.0000,0.05000,0.05000
0.407,0.00213,-0.98343,1.17887,-1.56544,-1.56957,0.00209,0.32820,1.0000,0.05000,0.05000
0.458,0.00258,-0.97989,1.17432,-1.56443,-1.56949,0.00253,0.32820,1.0000,0.05000,0.05000
0.509,0.00303,-0.97634,1.16974,-1.56340,-1.56940,0.00297,0.32818,1.0000,0.05000,0.05000
0.560,0.00338,-0.97350,1.16607,-1.56257,-1.56932,0.00332,0.32816,1.0000,0.05000,0.05000
0.611,0.00383,-0.96994,1.16146,-1.56152,-1.56924,0.00375,0.32812,1.0000,0.05000,0.05000
0.662,0.00427,-0.96638,1.15682,-1.56045,-1.56915,0.00419,0.32807,1.0000,0.05000,0.05000
0.713,0.00471,-0.96281,1.15216,-1.55936,-1.56906,0.00462,0.32801,1.0000,0.05000,0.05000
0.765,0.00515,-0.95923,1.14748,-1.55826,-1.56897,0.00505,0.32794,1.0000,0.05000,0.05000
0.815,0.00550,-0.95636,1.14372,-1.55737,-1.56890,0.00539,0.32787,1.0000,0.05000,0.05000
0.866,0.00594,-0.95277,1.13900,-1.55625,-1.56882,0.00582,0.32777,1.0000,0.05000,0.05000
0.917,0.00637,-0.94917,1.13426,-1.55510,-1.56873,0.00625,0.32765,1.0000,0.05000,0.05000
0.968,0.00681,-0.94556,1.12949,-1.55394,-1.56864,0.00667,0.32753,1.0000,0.05000,0.05000
1.019,0.00724,-0.94195,1.12471,-1.55277,-1.56856,0.00709,0.32739,1.0000,0.05000,0.05000
1.070,0.00776,-0.93760,1.11893,-1.55134,-1.56845,0.00760,0.32720,1.0000,0.05000,0.05000
