t,q0,q1,q2,q3,q4,q5,eig0,eig1,eig2,eig3,eig4,eig5,vcmd0,vcmd1,vcmd2,vcmd3,vcmd4,vcmd5,vreal0,vreal1,vreal2,vreal3,vreal4,vreal5
0.000,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.051,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.102,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.153,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.205,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.255,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.305,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.357,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.408,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.459,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.509,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.560,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.611,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.662,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.713,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.764,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.815,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.866,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.917,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.968,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.019,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.070,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.121,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.172,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.224,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.275,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.326,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.377,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.428,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.478,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.530,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.581,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.632,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02192,-0.00386,-0.03087,0.00036,-0.00580,-0.00016
